Algeria,Algiers
Angola,Luanda
Benin,Porto-Novo
Botswana,Gaborone
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cameroon,Yaounde
Cape Verde,Praia
Central African Republic,Bangui
Chad,N'Djamena
Comoros,Moroni
Congo,Brazzaville
Ivory Coast,Yamoussoukro
Djibouti,Djibouti
Egypt,Cairo
Equatorial Guinea,Malabo
Eritrea,Asmara
Ethiopia,Addis Ababa
Gabon,Libreville
Gambia,Banjul
Ghana,Accra
Guinea,Conakry
Guinea-Bissau,Bissau
Ivory Coast,Yamoussoukro
Kenya,Nairobi
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Morocco,Rabat
Mozambique,Maputo
Namibia,Windhoek
Niger,Niamey
Nigeria,Abuja
Reunion,Saint-Denis
Rwanda,Kigali
Sao Tome and Principe,Sao Tome
Senegal,Dakar
Seychelles,Victoria
Sierre Leone,Freetown
Somalia,Mogadishu
St. Helena,Jamestown
Swaziland,Mbabane
Tanzania,Dar es Salaam
Togo,Lome
Tunisia,Tunis
Uganda,Kampala
Zambia,Lusaka
Zimbabwe,Harare
South Africa,Cape Town
